"Sludinājumi


datums","Modelis","Gads","Tilp.","Nobrauk.","Cena","brand"
"Pārdodu Alfa Romeo 156 Sportwagon. 2.5 V6 benzīns. Auto labā stāvoklī, ar ne","156",2000,"2.5",202000,1100,"Alfa Romeo"
"Alfa Romeo 159Sw 3.2Jts V6 Q4, 4x4 pastāvīgā pilnpiedziņa, Q-Tronic automāts","159",2010,"3.2",224000,7500,"Alfa Romeo"
"Auto tiks noņemts no uzskaites norakstīšanai. Par šādu cenu der rezerves daļ","156",2002,"1.9D",316000,500,"Alfa Romeo"
"Tiek pārdota Alfa Romeo Brera, 2010.g. , batā krāsā. 
Ja būtu iespēja nepār","Brera",2010,"2.0D",333000,7000,"Alfa Romeo"
"No Vācijas. Alfa Romeo 147 Sportline. 
2008. gada modelis. 
Auto ļoti labā","147",2008,"1.6",185000,3490,"Alfa Romeo"
"Alfa Romeo 159 2.4Jtd Ti , 210Zs motors, Bose audio, ksenona gaismas, Brembo","159",2010,"2.4D",258000,7200,"Alfa Romeo"
"Jauna TA. Alfa Romeo 159 Q4 (Pilnpiedziņa), 210 HP, 330mm Brembo bremzes. Pi","159",2007,"2.4D",316000,5300,"Alfa Romeo"
"Alfa Romeo 159 Ti Turismo Internazionale 1.9 Jtdm 110kw 2009
Orģināls, pier","159",2009,"1.9D",219000,6500,"Alfa Romeo"
"Alfa Romeo Spider 2.0 16V, 150zs Twin Spark motors, 2001. gada modelis, ""Lus","Spider",2001,"2.0",199000,5950,"Alfa Romeo"
"A/m tikko no Vācijas, Alfa Romeo 147, 1.6 Benzins, 88 kW/120 z. s. , manuālā","147",2003,"1.6",,1950,"Alfa Romeo"
"Alfa Romeo 147, 1.6L Benzīns, 88kW, 01.2010 g. 

186 159 km

Automašīna","147",2010,"1.6",,3750,"Alfa Romeo"
"Piedāvājam Alfa Romeo Stelvio Veloce Q4. 2.0T benzīna dzinējs. 206Kw/280Zs.","Stelvio",2021,"2.0",17000,54790,"Alfa Romeo"
"Bruņu Alfa. 

Uz tirgošanu iet Ekluzīva 2009 gada 159 Alfa ar svaigi skati","159",2009,"2.4D",181000,4350,"Alfa Romeo"
"Facelifts, Ti komplektācija - no rūpnīcas nāk ar sēdinātu piekari, Brembo li","159",2009,"1.9D",210000,5300,"Alfa Romeo"
"Pirkta pie dīlera , nav sista , vēl 3 gadi garantija . Iespējama saprātīga m","Stelvio",2020,"2.0",10000,36900,"Alfa Romeo"
"Pārdod Alfa Romeo Mito 1, 4benzīns, ekonomisks un dinamisks auto, ideālā teh","Citi",2012,"1.4",83000,4900,"Alfa Romeo"
"Alfa Romeo Spider 2.0 16V, 150zs Twin Spark motors, 1997. gada modelis. 
Ru","Spider",1997,"2.0",242000,6000,"Alfa Romeo"
"Alfa Romeo 159 Spotwagon 1.9 Jtd 110 kW. Тех. осмотр до 03.11.2023. Пригнана","159",2006,"1.9D",262000,3790,"Alfa Romeo"
"Продам Alfa Romeo 1.9 в отличном техническом и визуальном состоянии. 
Автом","156",1999,"1.9D",289000,2000,"Alfa Romeo"
"Auto ir ļoti labā stāvoklī, kuram līdzekļi nav taupīti, divi riepu R16 un Al","159",2008,"1.9D",314000,4000,"Alfa Romeo"
"Alfa Romeo Gtv 2.0 16V, 150zs Twin Spark motors, 2003. gada modelis, rūpnīca","GTV",2003,"2.0",190000,5950,"Alfa Romeo"
"Giulietta Turismo, 1.4i, 88kw/120zs, no Francijas, Latvijā nav ekspluatēta.","Giulia",2011,"1.4",268000,6750,"Alfa Romeo"
"191kw. , Q4(полный привод 4х4) из Германии. 
- Машина приносит огромное удо","159",2006,"3.2",267000,4850,"Alfa Romeo"
"Alfa romeo, 1.9tdi 110hp. TA līdz Jūlijam. Bagāts aprīkojums, labs ādas salo","147",2004,"1.9D",320000,980,"Alfa Romeo"
"Продается. Родная краска, кондиционер работает, техосмотр с первого раза.","147",2002,"1.6",242000,1100,"Alfa Romeo"
"Alfa Romeo Giulietta 1.4 Turbo 170Zs, ""Distinctive"" aprīkojuma līmenis, pusā","Giulietta",2010,"1.4",164000,8300,"Alfa Romeo"
"Alfa Romeo Mito 1.3Jtdm 84Hp, ""Distinctive"" aprīkojuma līmenis, ādas salons,","Citi",2012,"1.3D",187000,5700,"Alfa Romeo"
"Labs auto, ziemā stabīli turās uz ceļa, tikai ir sarūsējusi, pašiem nav laik","156",2002,"1.9D",422000,700,"Alfa Romeo"
"Alfa Romeo 156 2.5 V6 24V, Busso V6 190zs motors, 6 pakāpju manuālā pārnesum","156",1998,"2.5",159000,8700,"Alfa Romeo"
"Alfa Romeo Mito 1.3Jtdm 95Hp, ""Distinctive"" aprīkojuma līmenis, ""Blu Tornado","Citi",2011,"1.3D",175000,5700,"Alfa Romeo"
"Alfa Romeo Mito 1.4 16V Turbo 155Hp, Brembo bremzes, Bose audio, ""Pelle Frau","Citi",2008,"1.4",136000,6500,"Alfa Romeo"
"Alfa Romeo Mito 1.4 16V Turbo 120Hp, īpašajā ""Giallo Corsa"" dzeltenajā krāsā","Citi",2009,"1.4",154000,6500,"Alfa Romeo"
"Alfa Romeo 147 - 1.9 Jtd (103kw), 2004 год, дизель, 6-Мкпп. В Латвии 5 лет,","147",2004,"1.9D",223000,2000,"Alfa Romeo"
"Alfa Romeo 156 Gta 3.2 V6, Bose audio, ksenona gaismas, ""Rosso Alfa"" sarkana","156",2003,"3.2",1e+05,21900,"Alfa Romeo"
"Pardodu ļoti labu Alfa Romeo Brera, ista Itaļu BMW. 

Продаю настоящую лег","Brera",2007,"2.4D",209000,11800,"Alfa Romeo"
"Alfa Romeo Giulia Quadrifoglio

~Vulcano Black Metallic colour
~Keyless e","Giulia",2017,"2.9",60000,54900,"Alfa Romeo"
"Alfa Romeo 147 Gta 3.2 V6 Busso 250Zs, ""Silverstone gray"" ādas salons, Bose","147",2003,"3.2",105000,16900,"Alfa Romeo"
"Feislifts 5 durvju Audi A3 1.6 benzīns/gāze. TA līdz nākamā gada septembrim,","A3",2002,"1.6",,1590,"Audi"
"Audi Q5 S-Line Quattro, 2.0 Tfsi Benzīns 169 kW/230 Zs, 8 ātrumu automātiskā","Q5",2016,"2.0",128000,24500,"Audi"
"Pārdod tehniski un vizuāli labu auto. 
Samainits sajūga komplekts, uz ziemu","A3",2005,"2.0D",259000,3650,"Audi"
"Audi A4, 2.0 dīzelis, 6pak. manuālā pārnesumkārba, ietilpīgs un ērts. Kruīzs","A4",2007,"2.0D",265000,4200,"Audi"
"Audi A4, 2.0 dīzelis, manuālā pārnesumkārba, ietilpīgs un ērts. Kruīzs, park","A4",2009,"2.0D",,6500,"Audi"
"Audi A6 Quattro, 3.0 dīzelis, 6pak. automātiskā pārnesumkārba, ietilpīgs un","A6",2004,"3.0D",426000,4400,"Audi"
"В хорошем техническом и визуальном состоянии. MS резина. Пробег 269671. Возм","A3",2003,"1.6",,1700,"Audi"
"Audi A5 quattro A/t. 2011. gada. 2.0l benzīns, 155 Kw (211 Hp). 

 - Riepu","A5",2011,"2.0",167000,11500,"Audi"
"Audi a4 1.9tdi 81kw Facelift
Tikko ievests vācu auto
Piereģistrēts un izie","A4",1999,"1.9D",301000,2550,"Audi"
"Audi A4 S-Line x 3 2.0Tdi 140kw/190zs 2017.gada modelis
Vācijā nomainīta zo","A4",2016,"2.0D",218000,20500,"Audi"
"A6 Avant/ Facelift/ Jauna Ta/ Automāts/ 2.5Tdi 120kw. 163zs

Izskatās labi","A6",2004,"2.5D",,2300,"Audi"
"Loti laba tehniska stavokli. Vairak info zvaniet.","Cabrio",1997,"1.9D",253000,4900,"Audi"
"Pārdodu labu ekonomisku un ar lētu apkopi darba zirgu.","A4",1996,"1.9D",340000,750,"Audi"
"Audi A4 B7 ar ksenona gaismām
Iegādāts Vācijā 2015. gadā. 
Katra skate ir","A4",2006,"2.0D",324000,2900,"Audi"
"Audi A8, Manuālis, 2.5Tdi, 110Kw. TA 02.2023. Nodoklis nomaksāts. 

Tehnis","A8",1997,"2.5D",,1690,"Audi"
"No Vācijas. Audi A4 Sportline. 
2006. gada modelis. 
Ekonomiska un ērta ik","A4",2006,"2.0D",,4190,"Audi"
"Sveiki pārdodu savu audi, praktiski bez rūsas , apnika ņemties tāpēc pārdodu","A6",2002,"1.9D",202000,1550,"Audi"
"Tikko no Vācijas. Latvija nav Ekspluatēta. Audi A4-Quattro 3.0Tdi-171Kw(232Z","Quattro",2007,"3.0D",235000,5380,"Audi"
"Pārdodu Audi A4 b7 2.7tdi 132kw
Jauna TA nodokli samaksāti 
Pietiekoši jau","A4",2006,"2.7D",325000,2250,"Audi"
"Audi A6 Quattro sēdināts, 2.7 dīzelis, 120 kw, 6pak. automātiskā pārnesumkār","A6",2005,"2.7D",308000,4700,"Audi"
"Audi A6 Quattro, 2.7 dīzelis, automātiskā pārnesumkārba, ietilpīgs un ērts.","A6",2009,"2.7D",,7000,"Audi"
"Audi A6 2009. gada, 2.7 litru dīzelis ar automātisku transmisiju. 

U. C e","A6",2009,"2.7D",,7500,"Audi"
"3.0Tdi Quattro, ādas sēdekļi, visu sēdekļu apsilde, aizmugurējo logu sauless","A6",2005,"3.0D",,4490,"Audi"
"Pardodu Audi A6 c6 3.0tdi Quattro , 2004 gads bejgas, 319km orginals nobrauk","A6",2004,"3.0D",319000,2900,"Audi"
"Drīzumā Latvijā. No Vācijas sterils Audi A4 Sline. Aprīkots ar 2.7D/140kw dz","A4",2009,"2.7D",214000,9200,"Audi"
"Audi A4. Latvijā viens īpašnieks auto pēc ieviešanas apstrādāts ar Krown. Li","A4",2007,"2.0D",255000,3850,"Audi"
"Audi Q7 3.0 Tdi 180kw Quattro, Face Lift modelis, tikko izieta tehniska apsk","Q7",2012,"3.0D",276000,18300,"Audi"
"Audi A6 C7 3.0 Tdi, Pilna S-line, restaureta karba un nomainītas dzīneja kēd","A6",2013,"3.0D",294000,16450,"Audi"
"Svaigas ziemas riepas, Latvijā viens saimnieks, dzinējam un ātrumkārbai main","Q7",2008,"3.0D",138000,9000,"Audi"
"Audi A6 2005. gada, 3.0 litru dīzelis ar automātisku transmisiju. 

- Klim","A6",2005,"3.0D",,5700,"Audi"
"Ļoti labā vizuālā un tehniskā stāvoklī. Ādas sporta sēdekļi.","A3",2013,"1.9D",205000,8700,"Audi"
"Audi A4 Avant, 1.9tdi (dīzelis) 81kw/110zs (vecā tipa sūkņa dzinējs), ļoti e","A4",2000,"1.9D",293000,1150,"Audi"
"1.9tdi, 170hp, pavasarī uzlikti jauni amīši, spilveni, riepas. 
Ādas salons","A6",2000,"1.9D",507000,2300,"Audi"
"2.0Tdi 6-Ātrumi, Alcantara Ādas Salons, Kruizkontrole, Klimatkontrole, Parko","A4",2008,"2.0D",,4790,"Audi"
"Audi A4 Quattro 2014.g 2.0Tdi 130kW. 
Auto no Zviedrijas - pirkts Igaunijā.","A4",2014,"2.0D",,12750,"Audi"
"Garantija. Tikko ievests. Headup. Distronic. Keylessgo. Camera. Line assist.","Allroad",2013,"3.0D",,16300,"Audi"
"Pārdodu Audi A6 2008g. 2.7 dīzelis ar 132 kW motoru un 6 pakāpju manuālu kār","A6",2008,"2.7D",335000,4700,"Audi"
"Audi A3 Sportback 2.0Tdi 110kW / 150Zs
Quattro - 4x4 pilnpiedziņa
Latvijā","A3",2013,"2.0D",,13990,"Audi"
"1.9tdi, 170hp, pavasarī uzlikti jauni amīši, spilveni, riepas. 
Ādas salons","Allroad",2000,"1.9D",507000,2300,"Audi"
"Auto tikko no Vacijas, 
Ripo loti labi
Labi aprikots
Pieregisrets- apskat","A6",2005,"2.7D",231000,4090,"Audi"
"Audi Q7 3.0tdi, Facelift, 7 мест. Новый Т. О. Налог оплачен.","Q7",2009,"3.0D",335000,13600,"Audi"
"Atvesta no Vācijas, 2.0 Tdi, 100 kW / 136 Zs, klimata kontrole, kondicionier","A4",2012,"2.0D",247000,8550,"Audi"
"Kopts Audi A6 3.0 (165kw) quattro. Apkopēm vienmēr rūpīgi sekots līdz. Nekād","A6",2005,"3.0D",340000,4150,"Audi"
"Audi A4 2004. gada, 2.0 litru dīzelis ar manuālu 6-pakāpju transmisiju

-","A4",2004,"2.0D",,4700,"Audi"
"Auto veikti virsbūves atjaunošanas darbi (likvidēta rūsa). Auto tehniskā kār","A4",2004,"2.0",,1500,"Audi"
"Audi A3 Sportback 1.8Tfsi 118kw S-tronic
Pirmā reģistrācija 11.03.2009.
No","A3",2009,"1.8",236000,6890,"Audi"
"Audi A3 2.0Tdi S-Line 110kw S-tronic
Pirmā reģistrācija 16.01.2013.
No Vāc","A3",2013,"2.0D",210000,11790,"Audi"
"Audi Q5 180kw Facelift 3.0Tdi Quattro
Pirmā reģistrācija 26.02.2014.

Apr","Q5",2014,"3.0D",249000,16490,"Audi"
"Skaists S-Line Tikko Ievests, 2.0Tdi /125Kw/, Xenon, Led, pusādas salons, sē","A6",2012,"2.0D",,8290,"Audi"
"Audi A5 Sportback 2.0 Tdi quattro (190 Zs) ar mehānisko pārnesumkārbu. Cena","A5",2015,"2.0D",164000,18500,"Audi"
"Audi A4 Facelift ar pilnigi jaunu TA 24.11.23.
1.9Tdi. motors strada labi u","A4",2000,"1.9D",,1499,"Audi"
"Audi A4 quattro, avants, 2.0Tdi Bpw (103Kw / 140Zs) dīzelis. 
Pirmās reģist","A4",2007,"2.0D",259000,3900,"Audi"
"Audi Allroud 230kw bi-turbo
Только из Франции, оригинальный пробег, отлично","Allroad",2012,"3.0D",240000,16900,"Audi"
"Pārdodu Audi A4 1.9tdi 66kw, manuals. Tehniski normāla stāvoklī. Jaunā TA 30","A4",1995,"1.9D",388000,1000,"Audi"
"Pārdod Audi A6 3.0 Dīzelis Quattro. Auto tiko ievests Latvija piereģistrētrs","A6",2011,"3.0D",263000,10200,"Audi"
"Tiek pārdots audi. Nodoklis par 2022 gadu nomaksāts pilnā apmērā. Pārakstīša","A6",1995,"2.5D",512000,400,"Audi"
"Audi A3 2.0Tdi
Laba komplektācija. 
Auto atvests no Šveices un sagatavots","A3",2011,"2.0D",178000,8000,"Audi"
"Q7 S-line quattro 3.0d
7 sēdvietas
Oriģināls noskrējiens 194t km. 
Pilna","Q7",2012,"3.0D",,20999,"Audi"
"A6 C6 3.0Tdi Quattro, teicāmā tehniskā un vizuālā stāvoklī. 
Motors un kārb","A6",2005,"3.0D",437000,3400,"Audi"
"Ekonomisks, vizuāli diezgan saguris, 2 atslēgas, sīkāk pa telefonu.","80",1994,"1.9D",408000,700,"Audi"
"Audi A7 2011 3.0 Tfsi Benzīns 300Zs Quattro Sportback

S-Tronic Automat
Q","A7",2011,"3.0",126000,16900,"Audi"
"Audi Q7 2006.g. 3.0 Dīzelis

Komplektācijā:
-Quattro
-Lietie diski
-Mig","Q7",2006,"3.0D",,8790,"Audi"
"Audi A4 Avant 2.0 Tdi S-Line. 

Ļoti labs tehniskais un vizuālais stāvokli","A4",2007,"2.0D",321000,4400,"Audi"
"Sakarā ar uzņēmuma autoparka maiņu atjaunošanu tiek pārdots Audi Q7. Visas a","Q7",2016,"3.0D",,44000,"Audi"
"Audi A4 2.0 quattro 125Kw. Atvesta no Itālijas. Nomainīts siksnas komplekts,","A4",2008,"2.0D",266000,6999,"Audi"
"S-line, 2.7 Dīzelis, automātiskā ātrumkārba, Led-lukturi, recaro ādas salons","A5",2008,"2.7D",289000,6900,"Audi"
"2.7 Dīzelis, S-Line, automātiskā ātrumkārba , ksenona lukturi, Navi, webasto","A4",2007,"2.7D",259000,3490,"Audi"
"S-Line. A3 2.0tdi. Auto labā tehniskā kārtībā. Ļoti ekonomisks 103kw turbodī","A3",2005,"2.0D",,2990,"Audi"
"Продаётся Ауди 100. В отличном техническом состоянии. Один хозяин.","100",1990,"2.0",3e+05,1500,"Audi"
"Продаю А6 в хорошем техническом и визуальном состоянии 2.4 бензин Техосмотр","A6",2003,"2.4",220000,2000,"Audi"
"Bez rūsas, ļoti labā stāvoklī, A6, 2002., 120 kw, veikti kvalitatīvi remonti","A6",2002,"2.5D",310000,2300,"Audi"
"Iespēja noformēt Operatīvā līzingā. Cena ar Pvn. 

Audi Q7 3.0d, 210 kW (2","Q7",2021,"3.0D",50000,64800,"Audi"
"Labas komplektācijas auto. Melns ādas salons. Lūka. Lietus sensors. Spoguļu","A4",2008,"2.0D",301000,6500,"Audi"
"Saimniece pārdod Audi Q7, Quattro, 3.0 Tdi, 180Kw, S-line

Kopts, teicamā","Q7",2012,"3.0D",237000,18500,"Audi"
"Pārdodu Audi A3 S-line Sportback. Tikko izieta jauna tehniskā apskate līdz 1","A3",2007,"2.0D",,3500,"Audi"
"Audi A3 Sportback 1.9 Tdi Ambition, Nobraukums 229 000km, pārbaudīts Carvert","A3",2009,"1.9D",229000,6590,"Audi"
"Audi A6 Sedan Quattro Sportpaket. pārbaudīts Carvertical. Nobraukums 320 000","A6",2006,"2.7D",320000,4650,"Audi"
"Audi A6 2.0 benzīns/gāze, mehāniskā Ātrumkārba. 

Audi A6 2.0 Benzīns-Gāze","A6",1994,"2.0",,1750,"Audi"
"Audi a4, B8 2.7 tdi 140kw, 190ps
Vācu auto

:kompliktācija

-R17 ar lab","A4",2009,"2.7D",265000,7100,"Audi"
"Audi A4 B7 Sportline, Tikko no Vācijas, 2.7d 132kw, Mehānika 6 ātrumi. 

P","A4",2006,"2.7D",273000,4650,"Audi"
"Pārdodu A4 B8 Quattro 3.0Tdi 176kW. Auto ļoti labā tehniskā stāvoklī, vizuāl","A4",2009,"3.0D",283000,7200,"Audi"
"1.9Tdi 96Kw, Mehānika, Teicamā teh. stāvoklī. Good Year M+S riepas. 
Labāka","A4",2002,"1.9D",,1790,"Audi"
"2.0i mehānika. Nesen izieta jauna TA. nomaksāts ceļa nodoklis. 
Pēc neliela","A6",2008,"2.0",,2290,"Audi"
"Ejošs audi quattro 100 avant. Bez apskates. Pēdējā apskate 2021. Gadā. Sīkāk","Quattro",1993,"2.0",255000,2200,"Audi"
"Audi A4 2009.gada 2.0 benzīns

Komplektācijā:
-Jauna TA
-Led gaismas
-X","A4",2009,"2.0",,6990,"Audi"
"Auto no Vācijas. 
Caurspīdīga auto vēsture-Car vertical. 
Detalizētāku inf","A6",2013,"2.0D",312000,12850,"Audi"
"Pardod Audi Allroad 3.0 tdi 171kw automats. R18 diski. Motors, karba, pneima","Allroad",2008,"3.0D",,4000,"Audi"
"Pardodu Audi A4 S-Line ar 2.0Tdi-130Kw motoru. Mašina tiko atzita no Vācijas","A4",2012,"2.0D",,11550,"Audi"
"Steidzami Tikai 899, - ar TA Audi A6 ar Gāzi , braukts ir daudz (pats nobrau","A6",1997,"1.8",477000,899,"Audi"
"Jauna Ta-2023G nodokli nomaksati 1, 9tdi-5l uz 100km labakais dzinejs sava k","A4",2005,"1.9D",,2699,"Audi"
"Pārdod saudzīgi lietotu Audi allroad. Viena no vispilnākajām komplektācijām","Allroad",2012,"3.0D",224000,17500,"Audi"
"Pārdodu vai maiņu ka arī pieņemu Crypto Valutu, 

Audi A8 Long 4.2 Tdi Qua","A8",2012,"4.2D",,21500,"Audi"
"Audi A 6 quatro speciālistam. Jaunā tehniskā apskate. Problēmas ar degvielas","A6",2001,"2.5D",345000,1060,"Audi"
"Pārdod Audi A4, 2.5 dīzelis, Manuāls

Elektriski regulējams muguras jostas","A4",2002,"2.5D",,2490,"Audi"
"Продается автомашина только что из Германии. Отличное визуальное и техническ","Q5",2011,"2.0D",207000,13399,"Audi"
"Tikko no Vācijas Audi A6 S-line 3.0tdi Quattro auto aprīkots ar bagātīgu kom","A6",2005,"3.0D",3e+05,5190,"Audi"
"Nozaudēti papīri , motoram nau galvas, dzelži labi, cena uzrādīta","80",1983,"1.8D",2e+05,554,"Audi"
"Pārdodu Audi A6 2.4 130Kw
Svaigi izieta tehniskā apskate un nomaksāti visi","A6",2004,"2.4",329000,2450,"Audi"
"Pardodas Audi A3. 2003 gada. Teicama stāvokli. Dāvana - ziemas riepas. Cena","A3",2003,"1.9D",349000,2400,"Audi"
"Audi A6 ar 2.0Tdi dizeļdzineju (204zs) , Quattro pilnpiedziņu un derīgu ražo","A6",2019,"2.0D",64000,40200,"Audi"
"Pārdodu audi a6 c5 avant 1.9Pd 96kw pārejais info zvanīt","A6",2002,"1.9D",352000,2500,"Audi"
"Pārdodu labu audi a4 ar 2.0 benzīna dzinēju labā tehniska un vizuāla stāvokl","A4",2003,"2.0",,1750,"Audi"
"Audi A6
Tikko izieta tehniskā apskate. Nodokļi par šo gadu samaksāti. Ļoti","A6",2008,"2.7D",335000,5399,"Audi"
"Audi Q5 S-Line 3.0Tdi 176Kw 240Zs. 2009.G. Izl. Quattro. Auto ir labā tehnis","Q5",2009,"3.0D",289000,9990,"Audi"
"Pardod Audi A6 c6 facelift 2.7tdi
140kw Quattro (ekonomisks, mazs ceļa nodo","A6",2009,"2.7D",262000,8290,"Audi"
"No Vācijas Audi A3 S line Sportpaket plus 2.0Tdi 103Kw 140Zs. 2010.G. Izl. A","A3",2010,"2.0D",281000,8890,"Audi"
"S-Line, Jauna TA, Quattro, 3, 0Dizel, Automāts, 1 saimnieks, nesen veikta pi","A6",2005,"3.0D",,4399,"Audi"
"Pārdodu Audi A6 Quattro 2015 gada Oktobris (200kW). 
Kopts auto. Apkopi tai","A6",2015,"3.0D",199000,19990,"Audi"
"Pārdodu audi a6c6 feislift 3, 0 dīzelis 176kw Quattro.","A6",2009,"3.0D",294000,5950,"Audi"
"S-Line. 2.0Tdi. 125Kw. Tagad atvesta. Teicamā stāvoklī. 
Pilna apkopju vēst","Q5",2009,"2.0D",233000,12500,"Audi"
"Pardod gimenes masinu (braukaja sieviete), laba stāvoklī Audi Q7, 3.0 , 8.āt","Q7",2010,"3.0D",,15799,"Audi"
"Audi A6 Avant 2.5 Tdi 132kw. 
Apskate nesen izieta un nodokļi samaksāti","A6",2002,"2.5D",,1650,"Audi"
"Pārdodu tehniski labu auto 1.9 Tdi 66kw nesen mainīts zobsiksnas komplekts u","A4",1999,"1.9D",347000,1500,"Audi"
"2.0i 96kw, TA 07.2023, melna metālika, auto ļoti labā tehniskā un vizuālā st","A6",2004,"2.0",301000,2250,"Audi"
"Pārdodas mīlēts un kopts, eleganti brūnas krāsas 2013.gada Audi Q5 2.0 Tfsi","Q5",2013,"2.0",160000,15500,"Audi"
"Teicamā tehniskā un vizuālā stāvoklī. Tikko Izieta Jauna tehniskā apskate un","A3",2006,"2.0D",3e+05,3990,"Audi"
"Audi A6 2.0d 103kw. S-Line. Tiko no Vacija. Auto perfekta stāvoklī gan vizuā","A6",2006,"2.0D",,6350,"Audi"
"Pārdodu vai mainu pret Meža īpašumu Audi Q7 S-line facelift 4.2 Tdi Quattro","Q7",2010,"4.2D",158000,15000,"Audi"
"Pārdodu audi a4 b6 avant. Tikko izieta TA. Atbilstoši savam vecumam ir vizuā","A4",2002,"2.5D",355000,1500,"Audi"
"Auto tikko no Vācijas
Pārdodu Audi A4 B8 2.0d 125 kW, 2008.gada oktobris
6","A4",2008,"2.0D",318000,4350,"Audi"
"Pārdodu šo skaisto ogļu fabriku uz riteņiem

Tiktokā šī auto izplūdes mazg","A4",1995,"1.9D",404000,1250,"Audi"
"Pārdodu Audi A4 B6 1.9 tdi 96Kw. Auto labā tehniskā un vizuālā stāvoklī (rūs","A4",2003,"1.9D",250000,3000,"Audi"
